Date,Open,High,Low,Close,Volume,return_feat,return_target,log_return,high_return
2015-01-07,82.25,82.25,82.25,82.25,500,0.028125,0.028125,0.02773675497159962,0.028125
2015-01-08,82.25,82.25,82.25,82.25,0,0.0,0.0,0.0,0.0
2015-01-09,82.25,82.25,82.25,82.25,0,0.0,0.0,0.0,0.0
2015-01-12,82.25,82.25,82.25,82.25,0,0.0,0.0,0.0,0.0
2015-01-13,82.5,82.5,82.5,82.5,100,0.00303951367781155,0.00303951367781155,0.003034903695154111,0.00303951367781155
2015-01-14,82.5,82.5,82.5,82.5,800,0.0,0.0,0.0,0.0
2015-01-15,82.5,82.5,82.5,82.5,0,0.0,0.0,0.0,0.0
2015-01-16,80.5,80.5,80.5,80.5,500,-0.024242424242424242,-0.024242424242424242,-0.02454110891611766,-0.024242424242424242
2015-01-19,80.5,80.5,80.5,80.5,300,0.0,0.0,0.0,0.0
2015-01-20,81.0,81.25,81.0,81.0,2200,0.006211180124223602,0.006211180124223602,0.00619197024792098,0.009316770186335404
2015-01-21,80.75,80.75,80.75,80.75,8300,-0.0030864197530864196,-0.0030864197530864196,-0.003091192569672858,-0.0030864197530864196
2015-01-22,82.0,86.0,82.0,84.0,5600,0.04024767801857585,0.04024767801857585,0.03945883674054771,0.06501547987616099
2015-01-23,85.0,94.75,84.75,89.75,63200,0.06845238095238096,0.06845238095238096,0.06621122852507462,0.12797619047619047
2015-01-26,89.0,93.25,89.0,91.0,9100,0.013927576601671309,0.013927576601671309,0.013831479148461799,0.03899721448467967
2015-01-27,91.0,100.0,91.0,97.25,92100,0.06868131868131869,0.06868131868131869,0.06642547598170562,0.0989010989010989
2015-01-28,97.0,98.5,93.0,97.5,28400,0.002570694087403599,0.002570694087403599,0.0025673955052457334,0.012853470437017995
2015-01-29,97.0,99.75,97.0,99.5,6600,0.020512820512820513,0.020512820512820513,0.020305266160745523,0.023076923076923078
2015-01-30,94.75,99.5,93.25,93.25,29400,-0.06281407035175879,-0.06281407035175879,-0.06487358564062216,0.0
2015-02-02,94.75,98.75,94.75,98.5,13400,0.05630026809651475,0.05630026809651475,0.05477248965411831,0.058981233243967826
2015-02-03,99.0,102.0,98.25,100.0,67700,0.015228426395939087,0.015228426395939087,0.015113637810048106,0.03553299492385787
2015-02-04,99.0,99.75,96.25,96.5,26800,-0.035,-0.035,-0.03562717764315116,-0.0025
2015-02-05,94.25,99.5,93.5,99.25,42200,0.02849740932642487,0.02849740932642487,0.02809891122235965,0.031088082901554404
2015-02-06,99.75,99.75,97.5,97.5,3500,-0.017632241813602016,-0.017632241813602016,-0.0177895415634983,0.005037783375314861
2015-02-09,99.75,99.75,98.0,98.0,2300,0.005128205128205128,0.005128205128205128,0.005115100666770409,0.023076923076923078
2015-02-10,100.0,100.0,97.5,99.75,8800,0.017857142857142856,0.017857142857142856,0.017699577099400857,0.02040816326530612
2015-02-11,99.25,100.0,98.0,99.5,24000,-0.002506265664160401,-0.002506265664160401,-0.002509411605425807,0.002506265664160401
2015-02-12,99.0,99.25,95.25,95.25,700,-0.04271356783919598,-0.04271356783919598,-0.04365263015773676,-0.002512562814070352
2015-02-13,96.5,98.0,96.5,97.25,7700,0.02099737532808399,0.02099737532808399,0.020779968491745435,0.028871391076115485
2015-02-16,95.25,97.5,95.25,97.5,300,0.002570694087403599,0.002570694087403599,0.0025673955052457334,0.002570694087403599
2015-02-17,97.5,97.5,96.0,96.0,1100,-0.015384615384615385,-0.015384615384615385,-0.015504186535965199,0.0
2015-02-18,96.0,96.0,95.75,95.75,1000,-0.0026041666666666665,-0.0026041666666666665,-0.0026075634070808302,0.0
2015-02-19,95.0,95.0,95.0,95.0,300,-0.007832898172323759,-0.007832898172323759,-0.007863736460214576,-0.007832898172323759
2015-02-20,95.0,95.0,95.0,95.0,0,0.0,0.0,0.0,0.0
2015-02-23,95.25,98.25,94.5,97.75,6100,0.02894736842105263,0.02894736842105263,0.028536307264934297,0.034210526315789476
2015-02-24,95.0,96.0,95.0,95.0,3700,-0.028132992327365727,-0.028132992327365727,-0.02853630726493436,-0.017902813299232736
2015-02-25,95.0,95.0,95.0,95.0,0,0.0,0.0,0.0,0.0
2015-02-26,94.5,94.5,92.0,92.0,3800,-0.031578947368421054,-0.031578947368421054,-0.03208831455150051,-0.005263157894736842
2015-02-27,93.0,93.0,92.25,92.25,1200,0.002717391304347826,0.002717391304347826,0.0027137058715963258,0.010869565217391304
2015-03-02,92.5,92.5,91.0,91.0,5100,-0.013550135501355014,-0.013550135501355014,-0.01364277640378649,0.0027100271002710027
2015-03-03,91.0,93.0,91.0,91.0,1500,0.0,0.0,0.0,0.02197802197802198
2015-03-05,94.0,95.75,91.0,91.0,1800,0.0,0.0,0.0,0.0521978021978022
2015-03-06,90.0,92.5,90.0,91.0,2700,0.0,0.0,0.0,0.016483516483516484
2015-03-09,91.0,91.5,91.0,91.0,700,0.0,0.0,0.0,0.005494505494505495
2015-03-10,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,0.0
2015-03-11,89.75,92.0,89.75,92.0,300,0.01098901098901099,0.01098901098901099,0.01092907053219023,0.01098901098901099
2015-03-12,90.0,90.5,89.0,89.25,13100,-0.029891304347826088,-0.029891304347826088,-0.030347156389291818,-0.016304347826086956
2015-03-13,90.75,91.0,90.75,91.0,1000,0.0196078431372549,0.0196078431372549,0.019418085857101516,0.0196078431372549
2015-03-16,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,0.0
2015-03-17,90.0,90.0,89.0,89.0,1200,-0.02197802197802198,-0.02197802197802198,-0.022223136784710235,-0.01098901098901099
2015-03-18,91.0,91.0,90.0,90.0,700,0.011235955056179775,0.011235955056179775,0.011173300598125255,0.02247191011235955
2015-03-19,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-03-20,88.25,88.25,88.0,88.0,1000,-0.022222222222222223,-0.022222222222222223,-0.02247285585205863,-0.019444444444444445
2015-03-23,88.0,88.0,88.0,88.0,0,0.0,0.0,0.0,0.0
2015-03-24,88.0,96.5,88.0,96.0,2600,0.09090909090909091,0.09090909090909091,0.08701137698962969,0.09659090909090909
2015-03-25,96.0,96.0,96.0,96.0,0,0.0,0.0,0.0,0.0
2015-03-26,96.0,96.0,96.0,96.0,0,0.0,0.0,0.0,0.0
2015-03-27,96.0,96.0,96.0,96.0,0,0.0,0.0,0.0,0.0
2015-03-30,96.0,96.0,96.0,96.0,0,0.0,0.0,0.0,0.0
2015-03-31,96.5,96.5,91.75,91.75,1300,-0.044270833333333336,-0.044270833333333336,-0.04528070453315662,0.005208333333333333
2015-04-01,91.75,91.75,91.0,91.0,1100,-0.008174386920980926,-0.008174386920980926,-0.008207980417829622,0.0
2015-04-02,92.0,92.0,92.0,92.0,500,0.01098901098901099,0.01098901098901099,0.01092907053219023,0.01098901098901099
2015-04-03,90.0,90.0,90.0,90.0,1000,-0.021739130434782608,-0.021739130434782608,-0.02197890671877523,-0.021739130434782608
2015-04-07,90.0,93.5,90.0,91.0,3200,0.011111111111111112,0.011111111111111112,0.011049836186584935,0.03888888888888889
2015-04-08,89.25,89.25,89.25,89.25,100,-0.019230769230769232,-0.019230769230769232,-0.019418085857101627,-0.019230769230769232
2015-04-09,90.0,90.0,90.0,90.0,200,0.008403361344537815,0.008403361344537815,0.00836824967051658,0.008403361344537815
2015-04-10,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-04-16,90.0,90.0,90.0,90.0,200,0.0,0.0,0.0,0.0
2015-04-17,90.0,90.0,90.0,90.0,2000,0.0,0.0,0.0,0.0
2015-04-20,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-04-21,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-04-22,90.25,90.25,90.25,90.25,2500,0.002777777777777778,0.002777777777777778,0.0027739268827252244,0.002777777777777778
2015-04-23,90.25,90.25,90.0,90.0,4400,-0.002770083102493075,-0.002770083102493075,-0.002773926882725208,0.0
2015-04-24,90.25,91.0,89.75,90.0,3700,0.0,0.0,0.0,0.011111111111111112
2015-04-27,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
