Date,Open,High,Low,Close
2015-01-05,81.0,81.0,78.25,78.25
2015-01-06,78.5,80.0,78.5,80.0
2015-01-07,82.25,82.25,82.25,82.25
2015-01-08,82.25,82.25,82.25,82.25
2015-01-09,82.25,82.25,82.25,82.25
2015-01-12,82.25,82.25,82.25,82.25
2015-01-13,82.5,82.5,82.5,82.5
2015-01-14,82.5,82.5,82.5,82.5
2015-01-15,82.5,82.5,82.5,82.5
2015-01-16,80.5,80.5,80.5,80.5
2015-01-19,80.5,80.5,80.5,80.5
2015-01-20,81.0,81.25,81.0,81.0
2015-01-21,80.75,80.75,80.75,80.75
2015-01-22,82.0,86.0,82.0,84.0
2015-01-23,85.0,94.75,84.75,89.75
2015-01-26,89.0,93.25,89.0,91.0
2015-01-27,91.0,100.0,91.0,97.25
2015-01-28,97.0,98.5,93.0,97.5
2015-01-29,97.0,99.75,97.0,99.5
2015-01-30,94.75,99.5,93.25,93.25
2015-02-02,94.75,98.75,94.75,98.5
2015-02-03,99.0,102.0,98.25,100.0
2015-02-04,99.0,99.75,96.25,96.5
2015-02-05,94.25,99.5,93.5,99.25
2015-02-06,99.75,99.75,97.5,97.5
2015-02-09,99.75,99.75,98.0,98.0
2015-02-10,100.0,100.0,97.5,99.75
2015-02-11,99.25,100.0,98.0,99.5
2015-02-12,99.0,99.25,95.25,95.25
2015-02-13,96.5,98.0,96.5,97.25
2015-02-16,95.25,97.5,95.25,97.5
2015-02-17,97.5,97.5,96.0,96.0
2015-02-18,96.0,96.0,95.75,95.75
2015-02-19,95.0,95.0,95.0,95.0
2015-02-20,95.0,95.0,95.0,95.0
2015-02-23,95.25,98.25,94.5,97.75
2015-02-24,95.0,96.0,95.0,95.0
2015-02-25,95.0,95.0,95.0,95.0
2015-02-26,94.5,94.5,92.0,92.0
2015-02-27,93.0,93.0,92.25,92.25
2015-03-02,92.5,92.5,91.0,91.0
2015-03-03,91.0,93.0,91.0,91.0
2015-03-05,94.0,95.75,91.0,91.0
2015-03-06,90.0,92.5,90.0,91.0
2015-03-09,91.0,91.5,91.0,91.0
2015-03-10,91.0,91.0,91.0,91.0
2015-03-11,89.75,92.0,89.75,92.0
2015-03-12,90.0,90.5,89.0,89.25
